,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
520,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
521,401,Robert Werdann,C,25,NJN,13,0,93,16,32,0.5,0,0,,16,32,0.5,0.5,7,13,0.538,5,18,23,2,5,3,6,17,39
522,402,David Wesley,PG,25,BOS,82,53,2104,338,736,0.459,116,272,0.426,222,464,0.478,0.538,217,288,0.753,68,196,264,390,100,11,159,207,1009
523,403,Doug West,SG,28,MIN,73,16,1639,175,393,0.445,1,13,0.077,174,380,0.458,0.447,114,144,0.792,48,113,161,119,30,17,81,228,465
524,404,Mark West,C,35,DET,47,21,682,61,126,0.484,0,0,,61,126,0.484,0.484,28,45,0.622,49,84,133,6,6,37,35,135,150
525,405,Dwayne Whitfield,PF,23,TOR,8,1,122,13,30,0.433,0,0,,13,30,0.433,0.433,14,22,0.636,9,16,25,2,3,2,8,14,40
526,406,Chris Whitney,PG,24,WSB,21,0,335,45,99,0.455,19,44,0.432,26,55,0.473,0.551,41,44,0.932,2,31,33,51,18,1,23,46,150
527,407,Gerald Wilkins,SG,32,VAN,28,14,738,77,205,0.376,14,64,0.219,63,141,0.447,0.41,20,23,0.87,22,43,65,68,22,2,37,55,188
528,408,Buck Williams,PF,35,POR,70,10,1672,192,384,0.5,2,3,0.667,190,381,0.499,0.503,125,187,0.668,159,245,404,42,40,47,90,187,511
529,409,Eric Williams,SF,23,BOS,64,6,1470,241,546,0.441,3,10,0.3,238,536,0.444,0.444,200,298,0.671,92,125,217,70,56,11,88,147,685
530,410,Herb Williams,PF-C,37,TOT,44,2,571,62,152,0.408,1,4,0.25,61,148,0.412,0.411,13,20,0.65,15,75,90,27,14,33,22,79,138
531,410,Herb Williams,C,37,TOR,1,0,31,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,1,7,8,0,1,2,0,4,6
532,410,Herb Williams,PF,37,NYK,43,2,540,59,144,0.41,1,4,0.25,58,140,0.414,0.413,13,20,0.65,14,68,82,27,13,31,22,75,132
533,411,Hot Rod Williams,C,33,PHO,62,58,1652,180,397,0.453,0,1,0,180,396,0.455,0.453,95,130,0.731,129,243,372,62,46,90,62,170,455
534,412,Jayson Williams,PF,27,NJN,80,6,1858,279,660,0.423,2,7,0.286,277,653,0.424,0.424,161,272,0.592,342,461,803,47,35,57,106,238,721
535,413,Lorenzo Williams,C,26,DAL,65,61,1806,87,214,0.407,0,1,0,87,213,0.408,0.407,24,70,0.343,234,287,521,85,48,122,78,226,198
536,414,Micheal Williams,PG,29,MIN,9,7,189,13,40,0.325,1,3,0.333,12,37,0.324,0.338,28,33,0.848,3,20,23,31,5,3,23,37,55
537,415,Monty Williams,SF,24,TOT,31,0,184,27,68,0.397,0,1,0,27,67,0.403,0.397,14,20,0.7,20,20,40,8,6,2,18,26,68
538,415,Monty Williams,SF,24,NYK,14,0,62,7,22,0.318,0,0,,7,22,0.318,0.318,5,8,0.625,9,8,17,4,2,0,5,9,19
539,415,Monty Williams,SF,24,SAS,17,0,122,20,46,0.435,0,1,0,20,45,0.444,0.435,9,12,0.75,11,12,23,4,4,2,13,17,49
540,416,Reggie Williams,SF,31,DEN,52,5,817,94,254,0.37,20,89,0.225,74,165,0.448,0.409,33,39,0.846,25,97,122,74,34,21,51,137,241
541,417,Scott Williams,PF,27,PHI,13,1,193,15,29,0.517,0,2,0,15,27,0.556,0.517,10,12,0.833,13,33,46,5,6,7,8,27,40
542,418,Walt Williams,SF,25,TOT,73,73,2169,359,808,0.444,114,293,0.389,245,515,0.476,0.515,163,232,0.703,99,220,319,230,85,58,151,238,995
543,418,Walt Williams,SF,25,SAC,45,45,1381,235,540,0.435,58,170,0.341,177,370,0.478,0.489,130,172,0.756,62,145,207,165,53,42,103,151,658
544,418,Walt Williams,SF,25,MIA,28,28,788,124,268,0.463,56,123,0.455,68,145,0.469,0.567,33,60,0.55,37,75,112,65,32,16,48,87,337
545,419,Corliss Williamson,SF,22,SAC,53,3,609,125,268,0.466,0,3,0,125,265,0.472,0.466,47,84,0.56,56,58,114,23,11,9,76,115,297
546,420,Kevin Willis,PF,33,TOT,75,60,2135,325,712,0.456,1,9,0.111,324,703,0.461,0.457,143,202,0.708,208,430,638,53,32,41,161,253,794
547,420,Kevin Willis,PF,33,MIA,47,42,1357,195,412,0.473,0,5,0,195,407,0.479,0.473,89,125,0.712,134,286,420,34,19,25,99,158,479
548,420,Kevin Willis,PF,33,GSW,28,18,778,130,300,0.433,1,4,0.25,129,296,0.436,0.435,54,77,0.701,74,144,218,19,13,16,62,95,315
549,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
550,421,Trevor Wilson,PF,27,PHI,6,0,79,10,20,0.5,0,0,,10,20,0.5,0.5,3,4,0.75,7,7,14,4,3,0,1,9,23
551,422,David Wingate,SG,32,SEA,60,3,695,88,212,0.415,15,34,0.441,73,178,0.41,0.45,32,41,0.78,17,39,56,58,20,4,42,66,223
552,423,Dontonio Wingfield,SF,21,POR,44,2,487,60,157,0.382,19,63,0.302,41,94,0.436,0.443,26,34,0.765,45,59,104,28,20,6,31,73,165
553,424,Joe Wolf,PF,31,TOT,64,8,1065,135,263,0.513,0,6,0,135,257,0.525,0.513,21,29,0.724,49,138,187,63,15,5,42,163,291
554,424,Joe Wolf,PF,31,CHH,1,0,18,0,1,0,0,0,,0,1,0,0,0,0,,0,2,2,0,2,0,2,2,0
555,424,Joe Wolf,PF,31,ORL,63,8,1047,135,262,0.515,0,6,0,135,256,0.527,0.515,21,29,0.724,49,136,185,63,13,5,40,161,291
556,425,David Wood,PF,31,TOT,62,0,772,75,174,0.431,20,62,0.323,55,112,0.491,0.489,38,50,0.76,51,103,154,34,19,10,24,150,208
557,425,David Wood,PF,31,GSW,21,0,96,7,14,0.5,1,3,0.333,6,11,0.545,0.536,7,8,0.875,7,9,16,5,2,1,3,23,22
558,425,David Wood,PF,31,PHO,4,0,34,1,6,0.167,0,0,,1,6,0.167,0.167,2,2,1,2,3,5,2,1,0,2,9,4
559,425,David Wood,PF,31,DAL,37,0,642,67,154,0.435,19,59,0.322,48,95,0.505,0.497,29,40,0.725,42,91,133,27,16,9,19,118,182
560,426,Randy Woods,PG,25,DEN,8,0,72,6,22,0.273,5,21,0.238,1,1,1,0.386,2,2,1,3,3,6,12,6,1,5,13,19
561,427,Haywoode Workman,PG,30,IND,77,4,1164,101,259,0.39,23,71,0.324,78,188,0.415,0.434,54,73,0.74,27,97,124,213,65,4,93,152,279
562,428,Sharone Wright,C,23,TOT,57,38,1434,248,512,0.484,1,3,0.333,247,509,0.485,0.485,167,259,0.645,148,208,356,38,30,49,109,163,664
563,428,Sharone Wright,C,23,PHI,46,32,1136,183,384,0.477,0,0,,183,384,0.477,0.477,117,186,0.629,124,175,299,27,24,39,81,125,483
564,428,Sharone Wright,C,23,TOR,11,6,298,65,128,0.508,1,3,0.333,64,125,0.512,0.512,50,73,0.685,24,33,57,11,6,10,28,38,181
565,429,George Zídek,C,22,CHH,71,21,888,105,248,0.423,0,0,,105,248,0.423,0.423,71,93,0.763,69,114,183,16,9,7,38,170,281
