,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
495,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
496,381,Otis Thorpe,PF,33,DET,82,82,2841,452,853,0.53,0,4,0,452,849,0.532,0.53,257,362,0.71,211,477,688,158,53,39,195,300,1161
497,382,Sedale Threatt,PG,34,LAL,82,8,1687,241,526,0.458,60,169,0.355,181,357,0.507,0.515,54,71,0.761,20,75,95,269,68,11,74,178,596
498,383,Wayman Tisdale,PF,31,PHO,63,6,1152,279,564,0.495,0,0,,279,564,0.495,0.495,114,149,0.765,55,159,214,58,15,36,63,188,672
499,384,Andy Toolson,SF,30,UTA,13,0,53,8,22,0.364,3,12,0.25,5,10,0.5,0.432,3,4,0.75,0,6,6,1,0,0,2,12,22
500,385,Keith Tower,C,25,LAC,34,1,305,32,72,0.444,0,1,0,32,71,0.451,0.444,18,26,0.692,22,29,51,5,4,11,16,50,82
501,386,Gary Trent,PF,21,POR,69,10,1219,220,429,0.513,0,9,0,220,420,0.524,0.513,78,141,0.553,84,154,238,50,25,11,92,116,518
502,387,Jeff Turner,PF,33,ORL,13,0,192,18,51,0.353,9,27,0.333,9,24,0.375,0.441,2,2,1,10,18,28,6,2,1,11,33,47
503,388,Nick Van Exel,PG,24,LAL,74,74,2513,396,950,0.417,144,403,0.357,252,547,0.461,0.493,163,204,0.799,29,152,181,509,70,10,156,115,1099
504,389,Logan Vander Velden,SF,24,LAC,15,0,31,3,14,0.214,0,5,0,3,9,0.333,0.214,3,4,0.75,1,5,6,1,0,0,0,4,9
505,390,David Vaughn,PF,22,ORL,33,0,266,27,80,0.338,0,1,0,27,79,0.342,0.338,10,18,0.556,33,47,80,8,6,15,18,68,64
506,391,Loy Vaught,PF,27,LAC,80,78,2966,571,1087,0.525,7,19,0.368,564,1068,0.528,0.529,149,205,0.727,204,604,808,112,87,40,158,241,1298
507,392,Rasheed Wallace,PF,21,WSB,65,51,1788,275,565,0.487,27,82,0.329,248,483,0.513,0.511,78,120,0.65,93,210,303,85,42,54,103,206,655
508,393,Rex Walters,SG,25,TOT,44,8,610,61,148,0.412,22,66,0.333,39,82,0.476,0.486,42,52,0.808,13,42,55,106,25,4,41,53,186
509,393,Rex Walters,SG,25,NJN,11,0,87,12,33,0.364,3,12,0.25,9,21,0.429,0.409,6,6,1,2,5,7,11,3,0,7,4,33
510,393,Rex Walters,SG,25,PHI,33,8,523,49,115,0.426,19,54,0.352,30,61,0.492,0.509,36,46,0.783,11,37,48,95,22,4,34,49,153
511,394,Charlie Ward,PG,25,NYK,62,1,787,87,218,0.399,33,99,0.333,54,119,0.454,0.475,37,54,0.685,29,73,102,132,54,6,79,98,244
512,395,Jamie Watson,SF,23,UTA,16,0,217,18,43,0.419,3,7,0.429,15,36,0.417,0.453,9,13,0.692,5,22,27,24,8,2,17,30,48
513,396,Clarence Weatherspoon,SF,25,PHI,78,75,3096,491,1015,0.484,0,2,0,491,1013,0.485,0.484,318,426,0.746,237,516,753,158,112,108,179,214,1300
514,397,Spud Webb,PG,32,TOT,77,21,1462,186,430,0.433,47,129,0.364,139,301,0.462,0.487,125,145,0.862,26,74,100,294,52,7,110,109,544
515,397,Spud Webb,PG,32,ATL,51,0,817,104,222,0.468,18,57,0.316,86,165,0.521,0.509,74,87,0.851,19,41,60,140,27,2,51,68,300
516,397,Spud Webb,PG,32,MIN,26,21,645,82,208,0.394,29,72,0.403,53,136,0.39,0.464,51,58,0.879,7,33,40,154,25,5,59,41,244
517,398,Chris Webber*,PF,22,WSB,15,15,558,150,276,0.543,15,34,0.441,135,242,0.558,0.571,41,69,0.594,37,77,114,75,27,9,49,51,356
518,399,Jeff Webster,SF,24,WSB,11,0,58,8,23,0.348,2,6,0.333,6,17,0.353,0.391,0,0,,2,5,7,3,4,0,3,7,18
519,400,Bill Wennington,C,32,CHI,71,20,1065,169,343,0.493,1,1,1,168,342,0.491,0.494,37,43,0.86,58,116,174,46,21,16,37,171,376
